0.50,l,0.84
0.40,f,0.84
1.11,l,0.84
0.53,f,0.84
0.02,f,0.84
0.06,f,0.84
0.46,l,0.84
0.78,f,0.84
0.29,l,0.84
0.04,f,0.84
0.52,l,0.84
0.11,l,0.84
0.23,f,0.84
0.78,l,0.84
0.17,f,0.84
0.59,f,0.84
0.50,f,0.84
2.14,f,0.84
0.01,l,0.84
0.32,f,0.84
2.01,f,0.84
0.05,f,0.84
0.52,l,0.84
0.16,f,0.84
0.77,f,0.84
1.74,f,0.84
0.24,l,0.84
0.35,f,0.84
1.94,f,0.84
0.38,f,0.84
1.54,f,0.84
0.62,f,0.84
2.06,f,0.84
0.29,f,0.84
1.78,f,0.84
0.40,f,0.84
1.81,f,0.84
0.29,f,0.84
0.01,f,0.84
0.87,l,0.84
0.00,f,0.84
0.51,f,0.84
0.24,l,0.84
0.12,l,0.84
0.28,l,0.84
0.00,l,0.84
0.24,f,0.84
0.63,l,0.84
0.31,f,0.84
0.74,f,0.84
1.07,l,0.84
0.79,f,0.84
0.33,l,0.84
0.08,l,0.84
0.56,f,0.84
0.61,f,0.84
1.16,f,0.84
0.58,f,0.84
0.43,f,0.84
1.26,f,0.84
0.72,l,0.84
0.00,l,0.84
0.00,l,0.84
0.53,f,0.84
0.80,l,0.84
0.80,f,0.84
0.13,l,0.84
0.11,l,0.84
0.56,f,0.84
0.32,l,0.84
0.65,l,0.84
0.72,l,0.84
0.00,l,0.84
0.00,l,0.84
0.00,l,0.84
0.00,f,0.84
0.00,l,0.84
0.00,f,0.83
